"Address","Value_1","Hex_1","Value_2","Hex_2","Value_3","Hex_3",,65535,,
0,19762,"0x4D32",19762,"0x4D32",19762,"0x4D32",,,,
1,13872,"0x3630",13872,"0x3630",13872,"0x3630",,,,
2,13104,"0x3330",13104,"0x3330",13104,"0x3330",,,,
3,13361,"0x3431",13361,"0x3431",13361,"0x3431",,,,
4,12333,"0x302D",12333,"0x302D",12333,"0x302D",,,,
5,12353,"0x3041",12353,"0x3041",12353,"0x3041",,,,
6,12336,"0x3030",12336,"0x3030",12336,"0x3030",,,,
7,14649,"0x3939",14649,"0x3939",14649,"0x3939",,,,
8,13312,"0x3400",13312,"0x3400",13312,"0x3400",,,,
9,0,"0x0000",0,"0x0000",0,"0x0000",,,,
20,0,"0x0000",0,"0x0000",0,"0x0000",,,,
21,0,"0x0000",0,"0x0000",0,"0x0000",,,,
22,0,"0x0000",0,"0x0000",0,"0x0000",,,,
23,0,"0x0000",0,"0x0000",0,"0x0000",,,,
24,0,"0x0000",0,"0x0000",0,"0x0000",,,,
25,0,"0x0000",0,"0x0000",0,"0x0000",,,,
26,256,"0x0100",256,"0x0100",256,"0x0100",,,,
27,0,"0x0000",0,"0x0000",0,"0x0000",,,,
28,0,"0x0000",0,"0x0000",0,"0x0000",,,,
29,0,"0x0000",0,"0x0000",0,"0x0000",,,,
30,0,"0x0000",0,"0x0000",0,"0x0000",,,,
31,0,"0x0000",0,"0x0000",0,"0x0000",,,,
32,0,"0x0000",0,"0x0000",0,"0x0000",,,,
33,0,"0x0000",0,"0x0000",0,"0x0000",,,,
34,0,"0x0000",0,"0x0000",0,"0x0000",,,,
35,0,"0x0000",0,"0x0000",0,"0x0000",,,,
36,0,"0x0000",0,"0x0000",0,"0x0000",,,,
37,0,"0x0000",0,"0x0000",0,"0x0000",,,,
38,0,"0x0000",0,"0x0000",0,"0x0000",,,,
39,0,"0x0000",0,"0x0000",0,"0x0000",,,,
40,0,"0x0000",0,"0x0000",0,"0x0000",,,,
41,0,"0x0000",0,"0x0000",0,"0x0000",,,,
42,0,"0x0000",0,"0x0000",0,"0x0000",,,,
43,0,"0x0000",0,"0x0000",0,"0x0000",,,,
44,0,"0x0000",0,"0x0000",0,"0x0000",,,,
45,0,"0x0000",0,"0x0000",0,"0x0000",,,,
46,0,"0x0000",0,"0x0000",0,"0x0000",,,,
47,0,"0x0000",0,"0x0000",0,"0x0000",,,,
48,0,"0x0000",0,"0x0000",0,"0x0000",,,,
49,0,"0x0000",0,"0x0000",0,"0x0000",,,,
50,0,"0x0000",0,"0x0000",0,"0x0000",,,,
51,0,"0x0000",0,"0x0000",0,"0x0000",,,,
52,0,"0x0000",0,"0x0000",0,"0x0000",,,,
53,0,"0x0000",0,"0x0000",0,"0x0000",,,,
54,0,"0x0000",0,"0x0000",0,"0x0000",,,,
55,0,"0x0000",0,"0x0000",0,"0x0000",,,,
56,0,"0x0000",0,"0x0000",0,"0x0000",,,,
57,96,"0x0060",96,"0x0060",96,"0x0060",,,,
58,0,"0x0000",0,"0x0000",0,"0x0000",,,,
59,0,"0x0000",0,"0x0000",0,"0x0000",,,,
70,0,"0x0000",0,"0x0000",0,"0x0000",,,,
71,0,"0x0000",0,"0x0000",0,"0x0000",,,,
72,0,"0x0000",0,"0x0000",0,"0x0000",,,,
73,0,"0x0000",0,"0x0000",0,"0x0000",,,,
74,14042,"0x36DA",13018,"0x32DA",13018,"0x32DA",,,,
75,52028,"0xCB3C",52028,"0xCB3C",52028,"0xCB3C",,,,
76,15360,"0x3C00",15360,"0x3C00",15360,"0x3C00",,,,
77,14042,"0x36DA",13018,"0x32DA",13018,"0x32DA",,,,
78,52028,"0xCB3C",52028,"0xCB3C",52028,"0xCB3C",,,,
79,15360,"0x3C00",15360,"0x3C00",15360,"0x3C00",,,,
80,2356,"0x0934",0,"0x0000",2376,"0x0948","input volt",,,
81,201,"0x00C9",0,"0x0000",236,"0x00EC",,,,
82,5006,"0x138E",0,"0x0000",5003,"0x138B","input freq",,,
83,65104,"0xFE50",0,"0x0000",65026,"0xFE02","input power (negetive)",431,509,
84,0,"0x0000",0,"0x0000",0,"0x0000",,,,
85,0,"0x0000",0,"0x0000",0,"0x0000",,,,
86,0,"0x0000",0,"0x0000",0,"0x0000",,,,
87,0,"0x0000",0,"0x0000",0,"0x0000",,,,
88,2356,"0x0934",2300,"0x08FC",2376,"0x0948","output volt",,,
89,215,"0x00D7",207,"0x00CF",250,"0x00FA",,,,
90,5006,"0x138E",5000,"0x1388",5002,"0x138A","output freq",,,
91,432,"0x01B0",371,"0x0173",507,"0x01FB","total ouput",,,
92,432,"0x01B0",371,"0x0173",507,"0x01FB","Output pow(W)",,,
93,216,"0x00D8",185,"0x00B9",253,"0x00FD","total load (%)",,,
94,432,"0x01B0",0,"0x0000",509,"0x01FD","grid consumption",,,
95,0,"0x0000",0,"0x0000",0,"0x0000",,,,
96,0,"0x0000",0,"0x0000",0,"0x0000",,,,
97,0,"0x0000",0,"0x0000",0,"0x0000",,,,
98,0,"0x0000",0,"0x0000",0,"0x0000",,,,
99,0,"0x0000",0,"0x0000",0,"0x0000",,,,
100,0,"0x0000",0,"0x0000",0,"0x0000",,,,
101,0,"0x0000",0,"0x0000",0,"0x0000",,,,
102,0,"0x0000",0,"0x0000",0,"0x0000",,,,
103,0,"0x0000",0,"0x0000",0,"0x0000",,,,
104,0,"0x0000",0,"0x0000",0,"0x0000",,,,
105,0,"0x0000",0,"0x0000",0,"0x0000",,,,
106,0,"0x0000",0,"0x0000",0,"0x0000",,,,
107,0,"0x0000",0,"0x0000",0,"0x0000",,,,
108,0,"0x0000",0,"0x0000",0,"0x0000",,,,
109,0,"0x0000",0,"0x0000",0,"0x0000",,,,
110,0,"0x0000",0,"0x0000",0,"0x0000",,,,
111,0,"0x0000",0,"0x0000",0,"0x0000",,,,
112,0,"0x0000",0,"0x0000",0,"0x0000",,,,
113,0,"0x0000",0,"0x0000",0,"0x0000",,,,
114,0,"0x0000",0,"0x0000",0,"0x0000",,,,
115,0,"0x0000",0,"0x0000",0,"0x0000",,,,
116,0,"0x0000",0,"0x0000",0,"0x0000",,,,
117,0,"0x0000",0,"0x0000",0,"0x0000",,,,
118,0,"0x0000",0,"0x0000",0,"0x0000",,,,
119,0,"0x0000",0,"0x0000",0,"0x0000",,,,
120,0,"0x0000",0,"0x0000",0,"0x0000",,,,
121,0,"0x0000",0,"0x0000",0,"0x0000",,,,
122,0,"0x0000",0,"0x0000",0,"0x0000",,,,
123,0,"0x0000",0,"0x0000",0,"0x0000",,,,
124,0,"0x0000",0,"0x0000",0,"0x0000",,,,
125,0,"0x0000",0,"0x0000",0,"0x0000",,,,
126,0,"0x0000",0,"0x0000",0,"0x0000",,,,
127,0,"0x0000",0,"0x0000",0,"0x0000",,,,
128,132,"0x0084",128,"0x0080",131,"0x0083","batt voltage",,,
129,0,"0x0000",325,"0x0145",65336,"0x0000","batt curr (negetive when charging)",19.9,,
130,0,"0x0000",0,"0x0000",0,"0x0000",,,,
131,0,"0x0000",0,"0x0000",0,"0x0000",,,,
132,54,"0x0036",45,"0x002D",54,"0x0036","54=no grid charge",,,
133,0,"0x0000",415,"0x019F",65507,"0x0000",,28,,
134,65104,"0xFE50",0,"0x0000",65025,"0xFE01","may be ac input power",510,,
135,432,"0x01B0",371,"0x0173",507,"0x01FB","output power",,,
136,32767,"0x7FFF",32767,"0x7FFF",32767,"0x7FFF",,,,
137,32767,"0x7FFF",32767,"0x7FFF",32767,"0x7FFF",,,,
138,32767,"0x7FFF",32767,"0x7FFF",32767,"0x7FFF",,,,
139,32767,"0x7FFF",32767,"0x7FFF",32767,"0x7FFF",,,,
140,32767,"0x7FFF",32767,"0x7FFF",32767,"0x7FFF",,,,
141,32767,"0x7FFF",32767,"0x7FFF",32767,"0x7FFF",,,,
142,32767,"0x7FFF",32767,"0x7FFF",32767,"0x7FFF",,,,
143,16464,"0x4050",16464,"0x4050",16464,"0x4050",,,,
144,0,"0x0000",0,"0x0000",0,"0x0000",,,,
145,0,"0x0000",0,"0x0000",0,"0x0000",,,,
146,0,"0x0000",0,"0x0000",0,"0x0000",,,,
147,32767,"0x7FFF",32767,"0x7FFF",32767,"0x7FFF",,,,
148,0,"0x0000",65121,"0xFE61",0,"0x0000","may be batt discharge VA",414," ","positive val when charging"
149,432,"0x01B0",0,"0x0000",512,"0x0200","grid power consumption(VA or WATT)",,,
150,0,"0x0000",0,"0x0000",0,"0x0000","PV volt",,,
151,0,"0x0000",0,"0x0000",0,"0x0000",,,,
152,0,"0x0000",0,"0x0000",0,"0x0000","pv watt",,,
153,0,"0x0000",0,"0x0000",0,"0x0000",,,,
154,0,"0x0000",0,"0x0000",0,"0x0000",,,,
155,0,"0x0000",0,"0x0000",0,"0x0000",,,,
156,0,"0x0000",0,"0x0000",0,"0x0000",,,,
157,258,"0x0102",258,"0x0102",258,"0x0102",,,,
158,0,"0x0000",0,"0x0000",0,"0x0000",,,,
159,0,"0x0000",0,"0x0000",0,"0x0000",,,,
160,0,"0x0000",0,"0x0000",0,"0x0000",,,,
161,258,"0x0102",258,"0x0102",258,"0x0102",,,,
162,258,"0x0102",258,"0x0102",258,"0x0102",,,,
163,0,"0x0000",0,"0x0000",0,"0x0000",,,,
164,29,"0x001D",29,"0x001D",29,"0x001D",,,,
165,29,"0x001D",29,"0x001D",29,"0x001D",,,,
166,29,"0x001D",29,"0x001D",29,"0x001D",,,,
167,0,"0x0000",0,"0x0000",0,"0x0000",,,,
168,18,"0x0012",18,"0x0012",19,"0x0013",,,,
169,18,"0x0012",18,"0x0012",19,"0x0013",,,,
170,18,"0x0012",18,"0x0012",19,"0x0013",,,,
171,0,"0x0000",0,"0x0000",0,"0x0000",,,,
172,64,"0x0040",64,"0x0040",64,"0x0040",,,,
173,64,"0x0040",64,"0x0040",64,"0x0040",,,,
174,64,"0x0040",64,"0x0040",64,"0x0040",,,,
175,2,"0x0002",3,"0x0003",3,"0x0003",,,,
176,896,"0x0380",896,"0x0380",897,"0x0381",,,,
177,896,"0x0380",896,"0x0380",897,"0x0381",,,,
178,896,"0x0380",896,"0x0380",897,"0x0381",,,,
179,0,"0x0000",0,"0x0000",0,"0x0000",,,,
260,0,"0x0000",0,"0x0000",0,"0x0000",,,,
261,0,"0x0000",0,"0x0000",0,"0x0000",,,,
262,0,"0x0000",0,"0x0000",0,"0x0000",,,,
263,0,"0x0000",0,"0x0000",0,"0x0000",,,,
264,0,"0x0000",0,"0x0000",0,"0x0000",,,,
265,0,"0x0000",0,"0x0000",0,"0x0000",,,,
266,0,"0x0000",0,"0x0000",0,"0x0000",,,,
267,0,"0x0000",0,"0x0000",0,"0x0000",,,,
268,0,"0x0000",0,"0x0000",0,"0x0000",,,,
269,0,"0x0000",0,"0x0000",0,"0x0000",,,,
270,0,"0x0000",0,"0x0000",0,"0x0000",,,,
271,0,"0x0000",0,"0x0000",0,"0x0000",,,,
272,0,"0x0000",0,"0x0000",0,"0x0000",,,,
273,0,"0x0000",0,"0x0000",0,"0x0000",,,,
274,0,"0x0000",0,"0x0000",0,"0x0000",,,,
275,0,"0x0000",0,"0x0000",0,"0x0000",,,,
276,0,"0x0000",0,"0x0000",0,"0x0000",,,,
277,0,"0x0000",0,"0x0000",0,"0x0000",,,,
278,0,"0x0000",0,"0x0000",0,"0x0000",,,,
279,0,"0x0000",0,"0x0000",0,"0x0000",,,,
280,0,"0x0000",0,"0x0000",0,"0x0000",,,,
281,0,"0x0000",0,"0x0000",0,"0x0000",,,,
282,0,"0x0000",0,"0x0000",0,"0x0000",,,,
283,0,"0x0000",0,"0x0000",0,"0x0000",,,,
284,0,"0x0000",0,"0x0000",0,"0x0000",,,,
285,0,"0x0000",0,"0x0000",0,"0x0000",,,,
286,0,"0x0000",0,"0x0000",0,"0x0000",,,,
287,0,"0x0000",0,"0x0000",0,"0x0000",,,,
288,0,"0x0000",0,"0x0000",0,"0x0000",,,,
289,0,"0x0000",0,"0x0000",0,"0x0000",,,,
290,0,"0x0000",0,"0x0000",0,"0x0000",,,,
291,0,"0x0000",0,"0x0000",0,"0x0000",,,,
292,0,"0x0000",0,"0x0000",0,"0x0000",,,,
293,0,"0x0000",0,"0x0000",0,"0x0000",,,,
294,0,"0x0000",0,"0x0000",0,"0x0000",,,,
295,0,"0x0000",0,"0x0000",0,"0x0000",,,,
296,0,"0x0000",0,"0x0000",0,"0x0000",,,,
297,0,"0x0000",0,"0x0000",0,"0x0000",,,,
298,0,"0x0000",0,"0x0000",0,"0x0000",,,,
299,0,"0x0000",0,"0x0000",0,"0x0000",,,,
300,0,"0x0000",0,"0x0000",0,"0x0000",,,,
301,0,"0x0000",0,"0x0000",0,"0x0000",,,,
302,0,"0x0000",0,"0x0000",0,"0x0000",,,,
303,0,"0x0000",0,"0x0000",0,"0x0000",,,,
304,0,"0x0000",0,"0x0000",0,"0x0000",,,,
305,0,"0x0000",0,"0x0000",0,"0x0000",,,,
306,0,"0x0000",0,"0x0000",0,"0x0000",,,,
307,0,"0x0000",0,"0x0000",0,"0x0000",,,,
308,0,"0x0000",0,"0x0000",0,"0x0000",,,,
309,0,"0x0000",0,"0x0000",0,"0x0000",,,,
310,0,"0x0000",0,"0x0000",0,"0x0000",,,,
311,0,"0x0000",0,"0x0000",0,"0x0000",,,,
312,0,"0x0000",0,"0x0000",0,"0x0000",,,,
313,0,"0x0000",0,"0x0000",0,"0x0000",,,,
314,0,"0x0000",0,"0x0000",0,"0x0000",,,,
315,0,"0x0000",0,"0x0000",0,"0x0000",,,,
316,0,"0x0000",0,"0x0000",0,"0x0000",,,,
317,0,"0x0000",0,"0x0000",0,"0x0000",,,,
318,0,"0x0000",0,"0x0000",0,"0x0000",,,,
319,0,"0x0000",0,"0x0000",0,"0x0000",,,,
320,0,"0x0000",0,"0x0000",0,"0x0000",,,,
321,0,"0x0000",0,"0x0000",0,"0x0000",,,,
322,1,"0x0001",1,"0x0001",1,"0x0001",,,,
323,1,"0x0001",1,"0x0001",1,"0x0001",,,,
324,3,"0x0003",5,"0x0005",3,"0x0003",,,,
325,0,"0x0000",0,"0x0000",0,"0x0000",,,,
326,0,"0x0000",0,"0x0000",0,"0x0000",,,,
327,0,"0x0000",0,"0x0000",0,"0x0000",,,,
328,0,"0x0000",0,"0x0000",0,"0x0000",,,,
329,0,"0x0000",0,"0x0000",0,"0x0000",,,,
340,3861,"0x0F15",3787,"0x0ECB",3861,"0x0F15",,,,
341,132,"0x0084",127,"0x007F",132,"0x0084",,,,
342,0,"0x0000",65206,"0xFEB6",0,"0x0000",,329,,
343,0,"0x0000",65206,"0xFEB6",0,"0x0000",,,,
